RegionName,AreaCode,longitude,latitude,,,,
Southampton,E06000045,-1.40025,50.92038,53.45,,,
Southend-on-Sea,E06000033,0.706906,51.549141,53.002666,,,
Southwark,E09000028,-0.07309,51.465881,52.187248,,,
Spelthorne,E07000213,-0.46254,51.41552,51.215485,,,
St Albans,E07000240,-0.3407,51.77356,54.956944,,,
St Helens,E08000013,-2.73333,53.45,,,,
Stafford,E07000197,-2.16475,52.847919,53.22739,,-2.179404,53.002666
Staffordshire,E10000028,-2.179404,53.002666,,,,
Staffordshire Moorlands,E07000198,-1.99786,53.03516,52.489471,,-0.631027,54.956944
Stevenage,E07000243,-0.18987,51.905392,52.489471,,-1.668889,54.956944
Stirling,S12000030,-4.14959,56.154308,50.825024,,-0.118092,51.509865
Stockport,E08000007,-2.12467,53.391159,53.68,,-4.129263,53.22739
Stockton-on-Tees,E06000004,-1.30669,54.556911,52.192001,,-1.265032,52.370876
Stoke-on-Trent,E06000021,-2.15888,53.017071,53.709845,,-1.898575,52.489471
Stratford-on-Avon,E07000221,-1.63565,52.161541,,,-1.898575,52.489471
Stroud,E07000082,-2.3082,51.720009,,,-0.383835,50.825024
Suffolk,E10000029,0.97078,52.187248,,,,
Sunderland,E08000024,-1.43344,54.857201,51.215485,,-2.22,52.192001
Surrey,E10000030,-0.631027,54.956944,,,,
Surrey Heath,E07000214,-0.68986,51.336102,51.509865,,,
Sutton,E09000029,-0.17227,51.357559,53.22739,,,
Swale,E07000113,0.77953,51.323872,52.370876,,,
Swansea,W06000011,-3.96723,51.658058,52.489471,,,
Swindon,E06000030,-1.73367,51.577629,52.489471,,,
Tameside,E08000008,-2.077,53.478668,50.825024,,,
Tamworth,E07000199,-1.68451,52.620312,53.68,,,
Tandridge,E07000215,-0.04805,51.235809,52.192001,,,
Teignbridge,E07000045,-3.59353,50.642879,53.709845,,,
Telford and Wrekin,E06000020,-2.48941,52.714169,,,,
Tendring,E07000076,1.109183,51.85693,,,,
Test Valley,E07000093,-1.50214,51.134171,,,,
Tewkesbury,E07000083,-2.19998,51.934849,,,,
Thanet,E07000114,1.328298,51.352531,,,,
Three Rivers,E07000102,-0.45005,51.656319,,,,
Thurrock,E06000034,0.334902,51.509941,,,,
Tonbridge and Malling,E07000115,0.349306,51.260639,,,,
Torbay,E06000027,-3.55523,50.470879,,,,
Torfaen,W06000020,-3.05101,51.698349,,,,
Torridge,E07000046,-4.21731,50.90802,,,,
Tower Hamlets,E09000030,-0.0364,51.51553,,,,
Trafford,E08000009,-2.36572,53.41671,,,,
Tunbridge Wells,E07000116,0.471632,51.102539,,,,
Tyne and Wear,E11000007,-1.668889,54.956944,,,,
United Kingdom,K02000001,-0.118092,51.509865,,,,
Uttlesford,E07000077,0.294485,51.935921,,,,
Vale of Glamorgan,W06000014,-3.39803,51.44838,,,,
Vale of White Horse,E07000180,-1.48543,51.65443,,,,
Wakefield,E08000036,-1.42092,53.659222,,,,
Wales,W92000004,-4.129263,53.22739,,,,
Walsall,E08000030,-1.97044,52.60503,,,,
Waltham Forest,E09000031,-0.01881,51.594608,,,,
Wandsworth,E09000032,-0.20021,51.452389,,,,
Warrington,E06000007,-2.56167,53.391628,,,,
Warwick,E07000222,-1.58369,52.301418,,,,
Warwickshire,E10000031,-1.265032,52.370876,,,,
Watford,E07000103,-0.40429,51.6717,,,,
Waverley,E07000216,-0.62346,51.156818,,,,
Wealden,E07000065,0.206982,50.97179,,,,
Wellingborough,E07000156,-0.71425,52.29258,,,,
Welwyn Hatfield,E07000241,-0.18518,51.760872,,,,
West Berkshire,E06000037,-1.27364,51.445591,,,,
West Devon,E07000047,-4.07439,50.784382,,,,
West Dunbartonshire,S12000039,-4.48307,55.951698,,,,
West Lancashire,E07000127,-2.86893,53.612808,,,,
West Lindsey,E07000142,-0.50774,53.40044,,,,
West Lothian,S12000040,-3.60909,55.8992,,,,
West Midlands,E11000005,-1.898575,52.489471,,,,
West Midlands Region,E12000005,-1.898575,52.489471,,,,
West Oxfordshire,E07000181,-1.50292,51.839901,,,,
West Suffolk,E07000245,0.652769,52.308418,,,,
West Sussex,E10000032,-0.383835,50.825024,,,,
West Yorkshire,E11000006,-1.49,53.68,,,,
Wigan,E08000010,-2.57247,53.51445,,,,
Wiltshire,E06000054,-1.92661,51.328831,,,,
Winchester,E07000094,-1.26331,51.144531,,,,
Windsor and Maidenhead,E06000040,-0.67541,51.480339,,,,
Wirral,E08000015,-3.06502,53.374538,,,,
Woking,E07000217,-0.57982,51.308369,,,,
Wokingham,E06000041,-0.89935,51.422958,,,,
Wolverhampton,E08000031,-2.12746,52.597881,,,,
Worcester,E07000237,-2.21025,52.19482,,,,
Worcestershire,E10000034,-2.22,52.192001,,,,
Worthing,E07000229,-0.3951,50.830238,,,,
Wrexham,W06000006,-2.99203,53.001671,,,,
Wychavon,E07000238,-2.01614,52.12886,,,,
Wycombe,E07000007,-0.80883,51.666199,,,,
Wyre,E07000128,-2.80462,53.89991,,,,
Wyre Forest,E07000239,-2.23494,52.3853,,,,
York,E06000014,-1.07375,53.96582,,,,
Yorkshire and The Humber,E12000003,-0.632907,53.709845,,,,
